symbol,company_name,exchange,sector,type,yahoo_symbol,isin
BDL,Bharat Dynamics Limited,NSE,Equity,STOCK,BDL.NS,INE171Z01026
BEARDSELL,Beardsell Limited,NSE,Equity,STOCK,BEARDSELL.NS,INE520H01022
BECTORFOOD,Mrs. Bectors Food Specialities Limited,NSE,Equity,STOCK,BECTORFOOD.NS,INE495P01020
BEEKAY,Beekay Steel Industries Limited,NSE,Equity,STOCK,BEEKAY.NS,INE213D01015
BEL,Bharat Electronics Limited,NSE,Equity,STOCK,BEL.NS,INE263A01024
BELLACASA,Bella Casa Fashion & Retail Limited,NSE,Equity,STOCK,BELLACASA.NS,INE344T01014
BELRISE,Belrise Industries Limited,NSE,Equity,STOCK,BELRISE.NS,INE894V01022
BEML,BEML Limited,NSE,Equity,STOCK,BEML.NS,INE258A01024
BENGALASM,Bengal & Assam Company Limited,NSE,Equity,STOCK,BENGALASM.NS,INE083K01017
BEPL,Bhansali Engineering Polymers Limited,NSE,Equity,STOCK,BEPL.NS,INE922A01025
BERGEPAINT,Berger Paints (I) Limited,NSE,Equity,STOCK,BERGEPAINT.NS,INE463A01038
BESTAGRO,Best Agrolife Limited,NSE,Equity,STOCK,BESTAGRO.NS,INE052T01021
BETA,Beta Drugs Limited,NSE,Equity,STOCK,BETA.NS,INE351Y01019
BFINVEST,BF Investment Limited,NSE,Equity,STOCK,BFINVEST.NS,INE878K01010
BFUTILITIE,BF Utilities Limited,NSE,Equity,STOCK,BFUTILITIE.NS,INE243D01012
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,NSE,Equity,STOCK,BHAGCHEM.NS,INE414D01027
BHAGERIA,Bhageria Industries Limited,NSE,Equity,STOCK,BHAGERIA.NS,INE354C01027
BHARATCOAL,Bharat Coking Coal Limited,NSE,Equity,STOCK,BHARATCOAL.NS,INE05XR01022
BHARATFORG,Bharat Forge Limited,NSE,Equity,STOCK,BHARATFORG.NS,INE465A01025
BHARATGEAR,Bharat Gears Limited,NSE,Equity,STOCK,BHARATGEAR.NS,INE561C01019
BHARATRAS,Bharat Rasayan Limited,NSE,Equity,STOCK,BHARATRAS.NS,INE838B01021
BHARATSE,Bharat Seats Limited,NSE,Equity,STOCK,BHARATSE.NS,INE415D01024
BHARATWIRE,Bharat Wire Ropes Limited,NSE,Equity,STOCK,BHARATWIRE.NS,INE316L01019
BHARTIARTL,Bharti Airtel Limited,NSE,Equity,STOCK,BHARTIARTL.NS,INE397D01024
BHARTIHEXA,Bharti Hexacom Limited,NSE,Equity,STOCK,BHARTIHEXA.NS,INE343G01021
BHEL,Bharat Heavy Electricals Limited,NSE,Equity,STOCK,BHEL.NS,INE257A01026
BI,Bilcare Limited,NSE,Equity,STOCK,BI.NS,INE986A01012
BIGBLOC,Bigbloc Construction Limited,NSE,Equity,STOCK,BIGBLOC.NS,INE412U01025
BIKAJI,Bikaji Foods International Limited,NSE,Equity,STOCK,BIKAJI.NS,INE00E101023
BIL,Bhartiya International Limited,NSE,Equity,STOCK,BIL.NS,INE828A01016
BIMETAL,Bimetal Bearings Limited,NSE,Equity,STOCK,BIMETAL.NS,INE469A01019
BIOCON,Biocon Limited,NSE,Equity,STOCK,BIOCON.NS,INE376G01013
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,NSE,Equity,STOCK,BIOFILCHEM.NS,INE829A01014
BIRLACORPN,Birla Corporation Limited,NSE,Equity,STOCK,BIRLACORPN.NS,INE340A01012
BIRLAMONEY,Aditya Birla Money Limited,NSE,Equity,STOCK,BIRLAMONEY.NS,INE865C01022
BIRLANU,BirlaNu Limited,NSE,Equity,STOCK,BIRLANU.NS,INE557A01011
BIRLAPREC,Birla Precision Technologies Limited,NSE,Equity,STOCK,BIRLAPREC.NS,INE372E01025
BLACKBUCK,BLACKBUCK LIMITED,NSE,Equity,STOCK,BLACKBUCK.NS,INE0UIZ01018
BLACKROSE,Black Rose Inds. Limited,NSE,Equity,STOCK,BLACKROSE.NS,INE761G01016
BLAL,BEML Land Assets Limited,NSE,Equity,STOCK,BLAL.NS,INE0N7W01012
BLIL,Balmer Lawrie Investments Limited,NSE,Equity,STOCK,BLIL.NS,INE525F01025
BLISSGVS,Bliss GVS Pharma Limited,NSE,Equity,STOCK,BLISSGVS.NS,INE416D01022
BLKASHYAP,B. L. Kashyap and Sons Limited,NSE,Equity,STOCK,BLKASHYAP.NS,INE350H01032
BLS,BLS International Services Limited,NSE,Equity,STOCK,BLS.NS,INE153T01027
BLSE,BLS E-Services Limited,NSE,Equity,STOCK,BLSE.NS,INE0NLT01010
BLUECHIP,Blue Chip India Limited,NSE,Equity,STOCK,BLUECHIP.NS,INE657B01025
BLUEDART,Blue Dart Express Limited,NSE,Equity,STOCK,BLUEDART.NS,INE233B01017
BLUEJET,Blue Jet Healthcare Limited,NSE,Equity,STOCK,BLUEJET.NS,INE0KBH01020
BLUESTARCO,Blue Star Limited,NSE,Equity,STOCK,BLUESTARCO.NS,INE472A01039
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,NSE,Equity,STOCK,BLUESTONE.NS,INE304W01038
BLUSPRING,Bluspring Enterprises Limited,NSE,Equity,STOCK,BLUSPRING.NS,INE0U4101014
BMWVENTLTD,BMW Ventures Limited,NSE,Equity,STOCK,BMWVENTLTD.NS,INE965W01036
BNAGROCHEM,BN Agrochem Limited,NSE,Equity,STOCK,BNAGROCHEM.NS,INE00HZ01011
BNALTD,B & A Limited,NSE,Equity,STOCK,BNALTD.NS,INE489D01011
BODALCHEM,Bodal Chemicals Limited,NSE,Equity,STOCK,BODALCHEM.NS,INE338D01028
BOMDYEING,Bombay Dyeing & Mfg Company Limited,NSE,Equity,STOCK,BOMDYEING.NS,INE032A01023
BONLON,Bonlon Industries Limited,NSE,Equity,STOCK,BONLON.NS,INE0B9A01018
BORANA,Borana Weaves Limited,NSE,Equity,STOCK,BORANA.NS,INE16SF01016
BOROLTD,Borosil Limited,NSE,Equity,STOCK,BOROLTD.NS,INE02PY01013
BORORENEW,BOROSIL RENEWABLES LIMITED,NSE,Equity,STOCK,BORORENEW.NS,INE666D01022
BOROSCI,Borosil Scientific Limited,NSE,Equity,STOCK,BOROSCI.NS,INE02L001032
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,NSE,Equity,STOCK,BOSCH-HCIL.NS,INE782A01015
BOSCHLTD,Bosch Limited,NSE,Equity,STOCK,BOSCHLTD.NS,INE323A01026
BPCL,Bharat Petroleum Corporation Limited,NSE,Equity,STOCK,BPCL.NS,INE029A01011
BPL,BPL Limited,NSE,Equity,STOCK,BPL.NS,INE110A01019
BRIGADE,Brigade Enterprises Limited,NSE,Equity,STOCK,BRIGADE.NS,INE791I01019
BRIGHOTEL,Brigade Hotel Ventures Limited,NSE,Equity,STOCK,BRIGHOTEL.NS,INE03NU01014
BRITANNIA,Britannia Industries Limited,NSE,Equity,STOCK,BRITANNIA.NS,INE216A01030
BRNL,Bharat Road Network Limited,NSE,Equity,STOCK,BRNL.NS,INE727S01012
BSE,BSE Limited,NSE,Equity,STOCK,BSE.NS,INE118H01025
BSL,BSL Limited,NSE,Equity,STOCK,BSL.NS,INE594B01012
BSOFT,BIRLASOFT LIMITED,NSE,Equity,STOCK,BSOFT.NS,INE836A01035
BTML,Bodhi Tree Multimedia Limited,NSE,Equity,STOCK,BTML.NS,INE0EEJ01023
BTTL,Bhilwara Technical Textiles Limited,NSE,Equity,STOCK,BTTL.NS,INE274K01012
BUILDPRO,Shankara Buildpro Limited,NSE,Equity,STOCK,BUILDPRO.NS,INE24OJ01011
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,NSE,Equity,STOCK,BUTTERFLY.NS,INE295F01017
BVCL,Barak Valley Cements Limited,NSE,Equity,STOCK,BVCL.NS,INE139I01011
CAMLINFINE,Camlin Fine Sciences Limited,NSE,Equity,STOCK,CAMLINFINE.NS,INE052I01032
CAMPUS,Campus Activewear Limited,NSE,Equity,STOCK,CAMPUS.NS,INE278Y01022
CAMS,Computer Age Management Services Limited,NSE,Equity,STOCK,CAMS.NS,INE596I01020
CANBK,Canara Bank,NSE,Equity,STOCK,CANBK.NS,INE476A01022
CANFINHOME,Can Fin Homes Limited,NSE,Equity,STOCK,CANFINHOME.NS,INE477A01020
CANHLIFE,Canara HSBC Life Insurance Company Limited,NSE,Equity,STOCK,CANHLIFE.NS,INE01TY01017
CANTABIL,Cantabil Retail India Limited,NSE,Equity,STOCK,CANTABIL.NS,INE068L01024
CAPACITE,Capacit'e Infraprojects Limited,NSE,Equity,STOCK,CAPACITE.NS,INE264T01014
CAPILLARY,Capillary Technologies India Limited,NSE,Equity,STOCK,CAPILLARY.NS,INE0ILV01024
CAPITALSFB,Capital Small Finance Bank Limited,NSE,Equity,STOCK,CAPITALSFB.NS,INE646H01017
CAPLIPOINT,Caplin Point Laboratories Limited,NSE,Equity,STOCK,CAPLIPOINT.NS,INE475E01026
CARBORUNIV,Carborundum Universal Limited,NSE,Equity,STOCK,CARBORUNIV.NS,INE120A01034
CARERATING,CARE Ratings Limited,NSE,Equity,STOCK,CARERATING.NS,INE752H01013
CARRARO,Carraro India Limited,NSE,Equity,STOCK,CARRARO.NS,INE0V7W01012
CARTRADE,Cartrade Tech Limited,NSE,Equity,STOCK,CARTRADE.NS,INE290S01011
CARYSIL,CARYSIL LIMITED,NSE,Equity,STOCK,CARYSIL.NS,INE482D01024
CASTROLIND,Castrol India Limited,NSE,Equity,STOCK,CASTROLIND.NS,INE172A01027
CCAVENUE,AvenuesAI Limited,NSE,Equity,STOCK,CCAVENUE.NS,INE483S01020
CCCL,Consolidated Construction Consortium Limited,NSE,Equity,STOCK,CCCL.NS,INE429I01024
CCHHL,Country Club Hospitality & Holidays Limited,NSE,Equity,STOCK,CCHHL.NS,INE652F01027
CCL,CCL Products (India) Limited,NSE,Equity,STOCK,CCL.NS,INE421D01022
CDSL,Central Depository Services (India) Limited,NSE,Equity,STOCK,CDSL.NS,INE736A01011
CEATLTD,CEAT Limited,NSE,Equity,STOCK,CEATLTD.NS,INE482A01020
CEIGALL,Ceigall India Limited,NSE,Equity,STOCK,CEIGALL.NS,INE0AG901020
CEINSYS,Ceinsys Tech Limited,NSE,Equity,STOCK,CEINSYS.NS,INE016Q01014
CELEBRITY,Celebrity Fashions Limited,NSE,Equity,STOCK,CELEBRITY.NS,INE185H01016
CELLO,Cello World Limited,NSE,Equity,STOCK,CELLO.NS,INE0LMW01024
CEMPRO,Cemindia Projects Limited,NSE,Equity,STOCK,CEMPRO.NS,INE686A01026
CENTENKA,Century Enka Limited,NSE,Equity,STOCK,CENTENKA.NS,INE485A01015
CENTEXT,Century Extrusions Limited,NSE,Equity,STOCK,CENTEXT.NS,INE281A01026
CENTRALBK,Central Bank of India,NSE,Equity,STOCK,CENTRALBK.NS,INE483A01010
CENTRUM,Centrum Capital Limited,NSE,Equity,STOCK,CENTRUM.NS,INE660C01027
CENTUM,Centum Electronics Limited,NSE,Equity,STOCK,CENTUM.NS,INE320B01020
CENTURYPLY,Century Plyboards (India) Limited,NSE,Equity,STOCK,CENTURYPLY.NS,INE348B01021
CERA,Cera Sanitaryware Limited,NSE,Equity,STOCK,CERA.NS,INE739E01017
CESC,CESC Limited,NSE,Equity,STOCK,CESC.NS,INE486A01021
CEWATER,Concord Enviro Systems Limited,NSE,Equity,STOCK,CEWATER.NS,INE037Z01029
CGCL,Capri Global Capital Limited,NSE,Equity,STOCK,CGCL.NS,INE180C01042
CGPOWER,CG Power and Industrial Solutions Limited,NSE,Equity,STOCK,CGPOWER.NS,INE067A01029
CHALET,Chalet Hotels Limited,NSE,Equity,STOCK,CHALET.NS,INE427F01016
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,NSE,Equity,STOCK,CHAMBLFERT.NS,INE085A01013
CHEMCON,Chemcon Speciality Chemicals Limited,NSE,Equity,STOCK,CHEMCON.NS,INE03YM01018
CHEMPLASTS,Chemplast Sanmar Limited,NSE,Equity,STOCK,CHEMPLASTS.NS,INE488A01050
CHENNPETRO,Chennai Petroleum Corporation Limited,NSE,Equity,STOCK,CHENNPETRO.NS,INE178A01016
CHEVIOT,Cheviot Company Limited,NSE,Equity,STOCK,CHEVIOT.NS,INE974B01016
CHOICEIN,Choice International Limited,NSE,Equity,STOCK,CHOICEIN.NS,INE102B01014
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,NSE,Equity,STOCK,CHOLAFIN.NS,INE121A01024
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,NSE,Equity,STOCK,CHOLAHLDNG.NS,INE149A01033
CIEINDIA,CIE Automotive India Limited,NSE,Equity,STOCK,CIEINDIA.NS,INE536H01010
CIFL,Capital India Finance Limited,NSE,Equity,STOCK,CIFL.NS,INE345H01024
CINELINE,Cineline India Limited,NSE,Equity,STOCK,CINELINE.NS,INE704H01022
CINEVISTA,Cinevista Limited,NSE,Equity,STOCK,CINEVISTA.NS,INE039B01026
CIPLA,Cipla Limited,NSE,Equity,STOCK,CIPLA.NS,INE059A01026
CLEAN,Clean Science and Technology Limited,NSE,Equity,STOCK,CLEAN.NS,INE227W01023
CLEANMAX,Clean Max Enviro Energy Solutions Limited,NSE,Equity,STOCK,CLEANMAX.NS,INE647U01026
CLSEL,Chaman Lal Setia Exports Limited,NSE,Equity,STOCK,CLSEL.NS,INE419D01026
CMPDI,Central Mine Planning & Design Institute Limited,NSE,Equity,STOCK,CMPDI.NS,INE05HV01027
CMSINFO,CMS Info Systems Limited,NSE,Equity,STOCK,CMSINFO.NS,INE925R01014
CNL,Creative Newtech Limited,NSE,Equity,STOCK,CNL.NS,INE985W01018
COALINDIA,Coal India Limited,NSE,Equity,STOCK,COALINDIA.NS,INE522F01014
COASTCORP,Coastal Corporation Limited,NSE,Equity,STOCK,COASTCORP.NS,INE377E01024
COCHINSHIP,Cochin Shipyard Limited,NSE,Equity,STOCK,COCHINSHIP.NS,INE704P01025
COCKERILL,John Cockerill India Limited,NSE,Equity,STOCK,COCKERILL.NS,INE515A01019
COFFEEDAY,Coffee Day Enterprises Limited,NSE,Equity,STOCK,COFFEEDAY.NS,INE335K01011
COFORGE,Coforge Limited,NSE,Equity,STOCK,COFORGE.NS,INE591G01025
COHANCE,Cohance Lifesciences Limited,NSE,Equity,STOCK,COHANCE.NS,INE03QK01018
COLPAL,Colgate Palmolive (India) Limited,NSE,Equity,STOCK,COLPAL.NS,INE259A01022
COMFINTE,Comfort Intech Limited,NSE,Equity,STOCK,COMFINTE.NS,INE819A01049
COMPUSOFT,Compucom Software Limited,NSE,Equity,STOCK,COMPUSOFT.NS,INE453B01029
COMSYN,Commercial Syn Bags Limited,NSE,Equity,STOCK,COMSYN.NS,INE073V01015
CONCOR,Container Corporation of India Limited,NSE,Equity,STOCK,CONCOR.NS,INE111A01025
CONCORDBIO,Concord Biotech Limited,NSE,Equity,STOCK,CONCORDBIO.NS,INE338H01029
CONFIPET,Confidence Petroleum India Limited,NSE,Equity,STOCK,CONFIPET.NS,INE552D01024
CONTROLPR,Control Print Limited,NSE,Equity,STOCK,CONTROLPR.NS,INE663B01015
CORALFINAC,Coral India Finance & Housing Limited,NSE,Equity,STOCK,CORALFINAC.NS,INE558D01021
CORDSCABLE,Cords Cable Industries Limited,NSE,Equity,STOCK,CORDSCABLE.NS,INE792I01017
COROMANDEL,Coromandel International Limited,NSE,Equity,STOCK,COROMANDEL.NS,INE169A01031
CORONA,CORONA Remedies Limited,NSE,Equity,STOCK,CORONA.NS,INE02ZQ01018
COSMOFIRST,COSMO FIRST LIMITED,NSE,Equity,STOCK,COSMOFIRST.NS,INE757A01017
COUNCODOS,Country Condo's Limited,NSE,Equity,STOCK,COUNCODOS.NS,INE695B01025
CPEDU,Career Point Edutech Limited,NSE,Equity,STOCK,CPEDU.NS,INE0P6P01016
CPPLUS,Aditya Infotech Limited,NSE,Equity,STOCK,CPPLUS.NS,INE819V01029
CRAFTSMAN,Craftsman Automation Limited,NSE,Equity,STOCK,CRAFTSMAN.NS,INE00LO01017
CRAMC,Canara Robeco Asset Management Company Limited,NSE,Equity,STOCK,CRAMC.NS,INE218I01013
CREATIVEYE,Creative Eye Limited,NSE,Equity,STOCK,CREATIVEYE.NS,INE230B01021
CREDITACC,CREDITACCESS GRAMEEN LIMITED,NSE,Equity,STOCK,CREDITACC.NS,INE741K01010
CREST,Crest Ventures Limited,NSE,Equity,STOCK,CREST.NS,INE559D01011
CRISIL,CRISIL Limited,NSE,Equity,STOCK,CRISIL.NS,INE007A01025
CRIZAC,Crizac Limited,NSE,Equity,STOCK,CRIZAC.NS,INE0S4R01014
CROMPTON,Crompton Greaves Consumer Electricals Limited,NSE,Equity,STOCK,CROMPTON.NS,INE299U01018
CROWN,Crown Lifters Limited,NSE,Equity,STOCK,CROWN.NS,INE491V01019
CSBBANK,CSB Bank Limited,NSE,Equity,STOCK,CSBBANK.NS,INE679A01013
CSLFINANCE,CSL Finance Limited,NSE,Equity,STOCK,CSLFINANCE.NS,INE718F01018
CUB,City Union Bank Limited,NSE,Equity,STOCK,CUB.NS,INE491A01021
CUBEXTUB,Cubex Tubings Limited,NSE,Equity,STOCK,CUBEXTUB.NS,INE144D01012
CUMMINSIND,Cummins India Limited,NSE,Equity,STOCK,CUMMINSIND.NS,INE298A01020
CUPID,Cupid Limited,NSE,Equity,STOCK,CUPID.NS,INE509F01029
CYBERTECH,Cybertech Systems And Software Limited,NSE,Equity,STOCK,CYBERTECH.NS,INE214A01019
CYIENT,Cyient Limited,NSE,Equity,STOCK,CYIENT.NS,INE136B01020
CYIENTDLM,Cyient DLM Limited,NSE,Equity,STOCK,CYIENTDLM.NS,INE055S01018
DABUR,Dabur India Limited,NSE,Equity,STOCK,DABUR.NS,INE016A01026
DAICHI,Dai-Ichi Karkaria Limited,NSE,Equity,STOCK,DAICHI.NS,INE928C01010
DALBHARAT,Dalmia Bharat Limited,NSE,Equity,STOCK,DALBHARAT.NS,INE00R701025
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,NSE,Equity,STOCK,DALMIASUG.NS,INE495A01022
DAMCAPITAL,Dam Capital Advisors Limited,NSE,Equity,STOCK,DAMCAPITAL.NS,INE284H01025
DAMODARIND,Damodar Industries Limited,NSE,Equity,STOCK,DAMODARIND.NS,INE497D01022
DANGEE,Dangee Dums Limited,NSE,Equity,STOCK,DANGEE.NS,INE688Y01022
DATAMATICS,Datamatics Global Services Limited,NSE,Equity,STOCK,DATAMATICS.NS,INE365B01017
DATAPATTNS,Data Patterns (India) Limited,NSE,Equity,STOCK,DATAPATTNS.NS,INE0IX101010
DAVANGERE,Davangere Sugar Company Limited,NSE,Equity,STOCK,DAVANGERE.NS,INE179G01029
DBCORP,D.B.Corp Limited,NSE,Equity,STOCK,DBCORP.NS,INE950I01011
DBEIL,Deepak Builders & Engineers India Limited,NSE,Equity,STOCK,DBEIL.NS,INE0OPA01019
DBL,Dilip Buildcon Limited,NSE,Equity,STOCK,DBL.NS,INE917M01012
DBREALTY,Valor Estate Limited,NSE,Equity,STOCK,DBREALTY.NS,INE879I01012
DBSTOCKBRO,DB (International) Stock Brokers Limited,NSE,Equity,STOCK,DBSTOCKBRO.NS,INE921B01025
DCAL,Dishman Carbogen Amcis Limited,NSE,Equity,STOCK,DCAL.NS,INE385W01011
DCBBANK,DCB Bank Limited,NSE,Equity,STOCK,DCBBANK.NS,INE503A01015
DCM,DCM  Limited,NSE,Equity,STOCK,DCM.NS,INE498A01018
DCMNVL,DCM Nouvelle Limited,NSE,Equity,STOCK,DCMNVL.NS,INE08KP01019
DCMSHRIRAM,DCM Shriram Limited,NSE,Equity,STOCK,DCMSHRIRAM.NS,INE499A01024
DCMSRIND,DCM Shriram Industries Limited,NSE,Equity,STOCK,DCMSRIND.NS,INE843D01027
DCW,DCW Limited,NSE,Equity,STOCK,DCW.NS,INE500A01029
DCXINDIA,DCX Systems Limited,NSE,Equity,STOCK,DCXINDIA.NS,INE0KL801015
DDEVPLSTIK,Ddev Plastiks Industries Limited,NSE,Equity,STOCK,DDEVPLSTIK.NS,INE0HR601026
DECCANCE,Deccan Cements Limited,NSE,Equity,STOCK,DECCANCE.NS,INE583C01021
DECNGOLD,Deccan Gold Mines Limited,NSE,Equity,STOCK,DECNGOLD.NS,INE945F01025
DEEDEV,DEE Development Engineers Limited,NSE,Equity,STOCK,DEEDEV.NS,INE841L01016
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,NSE,Equity,STOCK,DEEPAKFERT.NS,INE501A01019
DEEPAKNTR,Deepak Nitrite Limited,NSE,Equity,STOCK,DEEPAKNTR.NS,INE288B01029
DEEPINDS,Deep Industries Limited,NSE,Equity,STOCK,DEEPINDS.NS,INE0FHS01024
DELHIVERY,Delhivery Limited,NSE,Equity,STOCK,DELHIVERY.NS,INE148O01028
DELPHIFX,DELPHI WORLD MONEY LIMITED,NSE,Equity,STOCK,DELPHIFX.NS,INE726L01027
DELTACORP,Delta Corp Limited,NSE,Equity,STOCK,DELTACORP.NS,INE124G01033
DELTAMAGNT,Delta Manufacturing Limited,NSE,Equity,STOCK,DELTAMAGNT.NS,INE393A01011
DEN,Den Networks Limited,NSE,Equity,STOCK,DEN.NS,INE947J01015
DENORA,De Nora India Limited,NSE,Equity,STOCK,DENORA.NS,INE244A01016
DENTA,Denta Water and Infra Solutions Limited,NSE,Equity,STOCK,DENTA.NS,INE0R4L01018
DEVIT,Dev Information Technology Limited,NSE,Equity,STOCK,DEVIT.NS,INE060X01034
DEVX,Dev Accelerator Limited,NSE,Equity,STOCK,DEVX.NS,INE0VOV01021
DEVYANI,Devyani International Limited,NSE,Equity,STOCK,DEVYANI.NS,INE872J01023
DGCONTENT,Digicontent Limited,NSE,Equity,STOCK,DGCONTENT.NS,INE03JI01017
DHAMPURSUG,Dhampur Sugar Mills Limited,NSE,Equity,STOCK,DHAMPURSUG.NS,INE041A01016
DHANBANK,Dhanlaxmi Bank Limited,NSE,Equity,STOCK,DHANBANK.NS,INE680A01011
DHANUKA,Dhanuka Agritech Limited,NSE,Equity,STOCK,DHANUKA.NS,INE435G01025
DHARMAJ,Dharmaj Crop Guard Limited,NSE,Equity,STOCK,DHARMAJ.NS,INE00OQ01016
DHUNINV,Dhunseri Investments Limited,NSE,Equity,STOCK,DHUNINV.NS,INE320L01011
DIACABS,Diamond Power Infrastructure Limited,NSE,Equity,STOCK,DIACABS.NS,INE989C01038
DIAMINESQ,Diamines & Chemicals Limited,NSE,Equity,STOCK,DIAMINESQ.NS,INE591D01014
DIAMONDYD,Prataap Snacks Limited,NSE,Equity,STOCK,DIAMONDYD.NS,INE393P01035
DICIND,DIC India Limited,NSE,Equity,STOCK,DICIND.NS,INE303A01010
DIFFNKG,Diffusion Engineers Limited,NSE,Equity,STOCK,DIFFNKG.NS,INE184O01015
DIGIDRIVE,Digidrive Distributors Limited,NSE,Equity,STOCK,DIGIDRIVE.NS,INE0PSC01024
DIGITIDE,Digitide Solutions Limited,NSE,Equity,STOCK,DIGITIDE.NS,INE0U4701011
DIGJAMLMTD,Digjam Limited,NSE,Equity,STOCK,DIGJAMLMTD.NS,INE731U01028
DISAQ,Disa India Limited,NSE,Equity,STOCK,DISAQ.NS,INE131C01011
DIVGIITTS,Divgi Torqtransfer Systems Limited,NSE,Equity,STOCK,DIVGIITTS.NS,INE753U01022
DIVISLAB,Divi's Laboratories Limited,NSE,Equity,STOCK,DIVISLAB.NS,INE361B01024
DIXON,Dixon Technologies (India) Limited,NSE,Equity,STOCK,DIXON.NS,INE935N01020
DLF,DLF Limited,NSE,Equity,STOCK,DLF.NS,INE271C01023
DLINKINDIA,D-Link (India) Limited,NSE,Equity,STOCK,DLINKINDIA.NS,INE250K01012
DMART,Avenue Supermarts Limited,NSE,Equity,STOCK,DMART.NS,INE192R01011
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,NSE,Equity,STOCK,DMCC.NS,INE505A01010
DNAMEDIA,Diligent Media Corporation Limited,NSE,Equity,STOCK,DNAMEDIA.NS,INE016M01021
DODLA,Dodla Dairy Limited,NSE,Equity,STOCK,DODLA.NS,INE021O01019
DOLATALGO,Dolat Algotech Limited,NSE,Equity,STOCK,DOLATALGO.NS,INE966A01022
DOLLAR,Dollar Industries Limited,NSE,Equity,STOCK,DOLLAR.NS,INE325C01035
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,NSE,Equity,STOCK,DOLPHIN.NS,INE920A01037
DOMS,DOMS Industries Limited,NSE,Equity,STOCK,DOMS.NS,INE321T01012
DONEAR,Donear Industries Limited,NSE,Equity,STOCK,DONEAR.NS,INE668D01028
DPABHUSHAN,D. P. Abhushan Limited,NSE,Equity,STOCK,DPABHUSHAN.NS,INE266Y01019
DPSCLTD,DPSC Limited,NSE,Equity,STOCK,DPSCLTD.NS,INE360C01024
DPWIRES,D P Wires Limited,NSE,Equity,STOCK,DPWIRES.NS,INE864X01013
DRAGARWQ,Dr Agarwals Eye Hospital Limited,NSE,Equity,STOCK,DRAGARWQ.NS,INE934C01018
DRCSYSTEMS,DRC Systems India Limited,NSE,Equity,STOCK,DRCSYSTEMS.NS,INE03RS01027
DREAMFOLKS,Dreamfolks Services Limited,NSE,Equity,STOCK,DREAMFOLKS.NS,INE0JS101016
DREDGECORP,Dredging Corporation of India Limited,NSE,Equity,STOCK,DREDGECORP.NS,INE506A01018
DRREDDY,Dr. Reddy's Laboratories Limited,NSE,Equity,STOCK,DRREDDY.NS,INE089A01031
DSFCL,DCM Shriram Fine Chemicals Limited,NSE,Equity,STOCK,DSFCL.NS,INE0OFM01015
DSSL,Dynacons Systems & Solutions Limited,NSE,Equity,STOCK,DSSL.NS,INE417B01040
DTIL,Dhunseri Tea & Industries Limited,NSE,Equity,STOCK,DTIL.NS,INE341R01014
DVL,Dhunseri Ventures Limited,NSE,Equity,STOCK,DVL.NS,INE477B01010
DWARKESH,Dwarikesh Sugar Industries Limited,NSE,Equity,STOCK,DWARKESH.NS,INE366A01041
DYCL,Dynamic Cables Limited,NSE,Equity,STOCK,DYCL.NS,INE600Y01019
DYNAMATECH,Dynamatic Technologies Limited,NSE,Equity,STOCK,DYNAMATECH.NS,INE221B01012
DYNPRO,Dynemic Products Limited,NSE,Equity,STOCK,DYNPRO.NS,INE256H01015
EASEMYTRIP,Easy Trip Planners Limited,NSE,Equity,STOCK,EASEMYTRIP.NS,INE07O001026
EBGNG,GNG Electronics Limited,NSE,Equity,STOCK,EBGNG.NS,INE18JU01028
ECLERX,eClerx Services Limited,NSE,Equity,STOCK,ECLERX.NS,INE738I01010
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,NSE,Equity,STOCK,ECOSMOBLTY.NS,INE06HJ01020
EDELWEISS,Edelweiss Financial Services Limited,NSE,Equity,STOCK,EDELWEISS.NS,INE532F01054
EFCIL,EFC (I) Limited,NSE,Equity,STOCK,EFCIL.NS,INE886D01026
EICHERMOT,Eicher Motors Limited,NSE,Equity,STOCK,EICHERMOT.NS,INE066A01021
EIDPARRY,EID Parry India Limited,NSE,Equity,STOCK,EIDPARRY.NS,INE126A01031
EIEL,Enviro Infra Engineers Limited,NSE,Equity,STOCK,EIEL.NS,INE0LLY01014
EIFFL,Euro India Fresh Foods Limited,NSE,Equity,STOCK,EIFFL.NS,INE546V01010
EIHAHOTELS,EIH Associated Hotels Limited,NSE,Equity,STOCK,EIHAHOTELS.NS,INE276C01014
EIHOTEL,EIH Limited,NSE,Equity,STOCK,EIHOTEL.NS,INE230A01023
EIMCOELECO,Eimco Elecon (India) Limited,NSE,Equity,STOCK,EIMCOELECO.NS,INE158B01016
EKC,Everest Kanto Cylinder Limited,NSE,Equity,STOCK,EKC.NS,INE184H01027
